PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1012.0,103,12.8,10.3,85,7.83,100,2,285.0,306.9,286.3
1000.0,203,10.6,7.7,82,6.63,95,3,283.8,302.3,284.9
978.0,388,9.2,6.3,82,6.16,111,4,284.1,301.5,285.2
925.0,850,8.2,3.2,71,5.23,150,8,287.7,302.8,288.6
896.0,1113,6.8,2.6,75,5.18,110,8,288.9,303.9,289.8
856.0,1488,7.2,0.2,61,4.56,54,8,293.1,306.6,293.9
850.0,1546,7.0,0.0,61,4.52,45,8,293.5,306.9,294.3
765.0,2404,0.9,-4.2,69,3.69,50,10,295.8,307.0,296.5
764.0,2414,0.8,-4.2,69,3.68,51,10,295.9,307.0,296.5
736.0,2713,-0.1,-8.1,55,2.84,90,21,298.1,306.9,298.6
700.0,3115,-1.3,-13.3,40,1.97,95,20,301.0,307.3,301.4
673.0,3428,-1.9,-23.9,17,0.83,97,21,303.7,306.6,303.9
667.0,3500,-2.3,-21.3,22,1.05,98,22,304.1,307.6,304.3
602.0,4306,-7.7,-27.7,18,0.66,104,25,306.9,309.2,307.0
542.0,5106,-14.2,-33.0,19,0.44,110,29,308.5,310.1,308.6
500.0,5720,-19.1,-37.1,19,0.32,90,31,309.7,310.9,309.8
497.0,5764,-19.4,-37.8,18,0.30,85,31,309.8,310.9,309.9
442.0,6620,-26.1,-51.1,8,0.08,96,35,312.0,312.3,312.0
400.0,7330,-31.9,-49.9,15,0.10,105,39,313.4,313.9,313.5
378.0,7728,-35.3,-49.3,23,0.11,108,39,314.1,314.5,314.1
364.0,7985,-37.3,-51.5,21,0.09,110,39,314.8,315.2,314.8
304.0,9210,-46.8,-61.7,17,0.03,95,46,318.1,318.2,318.1
300.0,9300,-47.5,-62.5,16,0.03,100,46,318.3,318.4,318.3
294.0,9434,-48.7,-62.7,18,0.03,102,46,318.4,318.6,318.4
276.0,9845,-51.2,-65.6,16,0.02,110,48,320.6,320.7,320.6
250.0,10490,-55.1,-70.1,14,0.01,105,56,324.0,324.1,324.0
224.0,11181,-59.0,-72.2,17,0.01,100,61,328.3,328.4,328.3
209.0,11617,-61.5,-73.5,19,0.01,105,58,331.0,331.1,331.0
200.0,11890,-60.3,-73.3,17,0.01,95,57,337.1,337.2,337.1
186.0,12345,-58.1,-77.3,7,0.01,95,51,347.7,347.7,347.7
182.0,12481,-57.5,-78.5,5,0.00,101,48,350.9,350.9,350.9
170.0,12909,-59.5,-81.1,4,0.00,120,37,354.5,354.5,354.5
162.0,13210,-60.9,-82.9,4,0.00,104,37,357.0,357.0,357.0
158.0,13366,-60.5,-83.4,3,0.00,95,37,360.4,360.4,360.4
150.0,13690,-59.5,-84.5,3,0.00,105,35,367.4,367.4,367.4
143.0,13990,-58.9,-84.9,2,0.00,100,34,373.5,373.5,373.5
137.0,14258,-61.0,-86.5,2,0.00,120,28,374.4,374.5,374.4
132.0,14489,-62.7,-87.8,2,0.00,125,30,375.3,375.3,375.3
131.0,14537,-63.1,-88.1,2,0.00,125,28,375.4,375.4,375.4
125.0,14827,-62.8,-88.1,2,0.00,125,15,381.1,381.1,381.1
121.0,15029,-62.6,-88.2,2,0.00,90,23,385.0,385.0,385.0
118.0,15184,-62.4,-88.2,2,0.00,100,31,388.1,388.1,388.1
111.0,15563,-62.0,-88.2,2,0.00,140,30,395.7,395.7,395.7
102.0,16087,-61.4,-88.3,2,0.00,140,21,406.5,406.5,406.5
100.0,16210,-61.3,-88.3,2,0.00,125,20,409.0,409.0,409.0
95.0,16525,-62.6,-89.2,2,0.00,110,19,412.4,412.4,412.4
89.9,16864,-64.1,-90.1,2,0.00,113,14,416.1,416.1,416.1
86.0,17137,-62.6,-89.5,2,0.00,115,10,424.3,424.3,424.3
83.0,17355,-61.5,-88.9,2,0.00,150,11,431.0,431.1,431.0
80.6,17535,-60.5,-88.5,1,0.00,146,9,436.7,436.7,436.7
75.0,17978,-63.5,-90.1,2,0.00,135,4,439.5,439.5,439.5
72.8,18161,-64.7,-90.7,2,0.00,120,8,440.7,440.7,440.7
72.0,18228,-64.3,-90.6,2,0.00,115,10,442.9,442.9,442.9
70.0,18400,-63.3,-90.3,1,0.00,145,15,448.6,448.6,448.6
65.0,18858,-61.8,-89.9,1,0.00,185,10,461.4,461.4,461.4
62.0,19150,-60.9,-89.6,1,0.00,175,11,469.8,469.8,469.8
60.8,19271,-60.5,-89.5,1,0.00,183,11,473.3,473.3,473.3
55.0,19891,-61.9,-89.9,1,0.00,225,10,483.8,483.8,483.8
53.0,20120,-62.5,-90.1,1,0.00,260,10,487.7,487.7,487.7
50.0,20480,-63.3,-90.3,1,0.00,315,8,493.9,493.9,493.9
45.5,21059,-64.1,-91.1,1,0.00,343,3,505.4,505.5,505.4
43.0,21407,-63.3,-90.9,1,0.00,0,0,515.7,515.7,515.7
37.5,22251,-61.3,-90.3,1,0.00,331,6,541.3,541.3,541.3
34.0,22853,-63.6,-91.4,1,0.00,310,11,550.7,550.7,550.7
33.0,23037,-64.3,-91.8,1,0.00,325,10,553.5,553.6,553.5
31.6,23303,-65.3,-92.3,1,0.00,305,9,557.7,557.7,557.7
30.0,23620,-65.1,-92.1,1,0.00,330,4,566.6,566.6,566.6
27.0,24264,-64.5,-91.9,1,0.00,110,2,585.5,585.5,585.5
26.0,24495,-64.4,-91.9,1,0.00,165,10,592.4,592.4,592.4
23.0,25245,-63.7,-91.7,1,0.00,250,17,615.3,615.4,615.3
22.9,25272,-63.7,-91.7,1,0.00,250,17,616.2,616.2,616.2
21.0,25802,-64.6,-92.0,1,0.00,260,23,628.9,629.0,628.9
20.0,26100,-65.1,-92.1,1,0.00,225,24,636.2,636.2,636.2
19.0,26412,-65.4,-92.2,1,0.00,240,28,644.6,644.7,644.7
17.0,27087,-66.0,-92.6,1,0.00,270,19,663.4,663.4,663.4
15.0,27848,-66.8,-92.9,1,0.00,265,43,685.1,685.2,685.1
14.2,28181,-67.1,-93.1,1,0.00,265,39,694.9,694.9,694.9
13.0,28722,-65.7,-92.2,1,0.01,265,33,717.5,717.5,717.5
12.0,29213,-64.4,-91.4,1,0.01,235,42,738.6,738.7,738.6
11.0,29746,-63.0,-90.5,1,0.01,260,43,762.2,762.4,762.2
10.0,30330,-61.5,-89.5,1,0.01,255,65,789.0,789.1,789.0
9.7,30519,-60.5,-89.1,1,0.01,255,74,799.4,799.6,799.4
9.5,30649,-59.9,-88.9,1,0.02,258,68,806.6,806.8,806.6
9.0,30986,-60.3,-88.8,1,0.02,265,53,817.7,817.9,817.7
